Attendance Area,School,Count
Dunlap,Dunlap,179
Dunlap,South Shore PK-8,52
Dunlap,Orca K-8,12
Dunlap,Rising Star,9
Dunlap,Martin Luther King,6
Dunlap,Wing Luke,5
Dunlap,Graham Hill,3
Dunlap,Maple,3
Dunlap,Queen Anne,3
Dunlap,STEM K-8,3
Dunlap,Thurgood Marshall,3
Dunlap,Dearborn Park Intl,3
Dunlap,Emerson,2
Dunlap,Hawthorne,2
Dunlap,Kimball,2
Dunlap,TOPS K-8,2
Dunlap,Bailey Gatzert,1
Dunlap,Beacon Hill Intl,1
Dunlap,Leschi,1
Dunlap,Madrona,1
Dunlap,Rainier View,1
Dunlap,Roxhill,1
Emerson,Emerson,247
Emerson,South Shore PK-8,88
Emerson,Orca K-8,17
Emerson,Dunlap,14
Emerson,Thurgood Marshall,11
Emerson,Wing Luke,10
Emerson,Queen Anne,8
Emerson,Rainier View,8
Emerson,Dearborn Park Intl,7
Emerson,Graham Hill,5
Emerson,STEM K-8,5
Emerson,Rising Star,4
Emerson,TOPS K-8,4
Emerson,Hawthorne,3
Emerson,Martin Luther King,3
Emerson,John Muir,2
Emerson,Cascade Parent Partnership,1
Emerson,Hazel Wolf K-8,1
Emerson,In Tandem,1
Emerson,John Stanford Intl,1
Emerson,Maple,1
Graham Hill,Graham Hill,211
Graham Hill,Orca K-8,35
Graham Hill,South Shore PK-8,24
Graham Hill,Martin Luther King,11
Graham Hill,Queen Anne,8
Graham Hill,Thurgood Marshall,6
Graham Hill,Dearborn Park Intl,4
Graham Hill,Kimball,4
Graham Hill,Emerson,3
Graham Hill,TOPS K-8,3
Graham Hill,Beacon Hill Intl,2
Graham Hill,Hawthorne,2
Graham Hill,John Muir,2
Graham Hill,McGilvra,2
Graham Hill,Adams,1
Graham Hill,Cascade Parent Partnership,1
Graham Hill,Dunlap,1
Graham Hill,Lowell,1
Graham Hill,Olympic Hills,1
Graham Hill,Stevens,1
Hawthorne,Hawthorne,343
Hawthorne,Orca K-8,122
Hawthorne,Dearborn Park Intl,14
Hawthorne,Thurgood Marshall,13
Hawthorne,Graham Hill,9
Hawthorne,South Shore PK-8,8
Hawthorne,TOPS K-8,8
Hawthorne,Kimball,5
Hawthorne,Queen Anne,4
Hawthorne,Cascade Parent Partnership,3
Hawthorne,John Muir,3
Hawthorne,Martin Luther King,3
Hawthorne,Beacon Hill Intl,2
Hawthorne,Concord Intl,1
Hawthorne,Emerson,1
Hawthorne,John Hay,1
Hawthorne,John Stanford Intl,1
Hawthorne,Leschi,1
Hawthorne,Rising Star,1
Hawthorne,STEM K-8,1
Hawthorne,Wing Luke,1
Martin Luther King,Martin Luther King,186
Martin Luther King,South Shore PK-8,24
Martin Luther King,Orca K-8,17
Martin Luther King,Graham Hill,14
Martin Luther King,Dearborn Park Intl,6
