School,Year,Bilingual Education (BUDGET),General Education (BUDGET),Other Grants (BUDGET),Special Education (BUDGET),State LAP (BUDGET),Total Budget (BUDGET),Seattle Ed. Levy (BUDGET),Federal Title I (BUDGET),Bilingual Education (ENROLLMENT),Free and Reduced Lunch (ENROLLMENT),Special Education (ENROLLMENT),Total AAFTE* Enrollment (ENROLLMENT),Full Address,Latitude,Longitude,Closest School,Distance to Closest School (miles),Budget Efficiency
Adams Elementary,2021-22,57906.0,3318000.0,15000.0,686313.0,25935.0,4103154.0,,,26.0,46.0,35.0,402.0,"6110 28th Ave. NW Seattle, WA 98107 ",47.6735243,-122.3915651,Licton Springs K-8,0.3639035084506962,10206.850746268658
Adams Elementary,2022-23,61610.0,3150756.0,122000.0,509338.0,43151.0,3886855.0,,,24.0,36.0,27.0,354.0,"6110 28th Ave. NW Seattle, WA 98107 ",47.6735243,-122.3915651,Licton Springs K-8,0.3639035084506962,10979.816384180791
Adams Elementary,2023-24,31138.0,2579214.0,24541.0,532400.0,45506.0,3212799.0,,,8.0,38.0,27.0,279.0,"6110 28th Ave. NW Seattle, WA 98107 ",47.6735243,-122.3915651,Licton Springs K-8,0.3639035084506962,11515.408602150537
Alki Elementary,2021-22,28906.0,2693207.0,2541.0,204040.0,25935.0,2952088.0,,,11.0,33.0,17.0,325.0,"5000 SW Spokane St Seattle, WA 98116 ",47.5726539,-122.3968136,Genesee Hill Elementary,0.4284647335413581,9083.347692307692
Alki Elementary,2022-23,61496.0,2785925.0,0.0,216217.0,57536.0,3121174.0,,,19.0,34.0,16.0,307.0,"5000 SW Spokane St Seattle, WA 98116 ",47.5726539,-122.3968136,Genesee Hill Elementary,0.4284647335413581,10166.690553745928
Alki Elementary,2023-24,31207.0,2504977.0,0.0,143943.0,60674.0,2743342.0,,,11.0,29.0,14.0,278.0,"5000 SW Spokane St Seattle, WA 98116 ",47.5726539,-122.3968136,Genesee Hill Elementary,0.4284647335413581,9868.136690647481
Arbor Heights Elementary,2021-22,57929.0,4475319.0,10704.0,1545137.0,32419.0,6520748.0,399240.0,,27.0,94.0,76.0,535.0,"3701 SW 104th St. Seattle, WA 98146 ",47.5096538,-122.3782632,Roxhill Elementary,1.6060477050230857,12188.314018691588
Arbor Heights Elementary,2022-23,61634.0,4583956.0,59908.0,1633827.0,57536.0,6928866.0,532005.0,,25.0,91.0,74.0,510.0,"3701 SW 104th St. Seattle, WA 98146 ",47.5096538,-122.3782632,Roxhill Elementary,1.6060477050230857,13586.011764705883
Arbor Heights Elementary,2023-24,62297.0,4178412.0,77541.0,1598353.0,60674.0,6528312.0,551035.0,,17.0,75.0,71.0,470.0,"3701 SW 104th St. Seattle, WA 98146 ",47.5096538,-122.3782632,Roxhill Elementary,1.6060477050230857,13890.025531914893
Daniel Bagley Elementary,2021-22,57837.0,3022478.0,94465.0,963787.0,32418.0,4170985.0,,,23.0,41.0,42.0,353.0,"7821 Stone Ave. N Seattle, WA 98103 ",47.68634429999999,-122.3425126,Cascadia Elementary,0.6627938412909924,11815.821529745042
Daniel Bagley Elementary,2022-23,92281.0,2861175.0,67000.0,963823.0,57536.0,4041815.0,,,30.0,49.0,36.0,306.0,"7821 Stone Ave. N Seattle, WA 98103 ",47.68634429999999,-122.3425126,Cascadia Elementary,0.6627938412909924,13208.545751633987
Daniel Bagley Elementary,2023-24,62528.0,2981528.0,63065.0,1382393.0,60674.0,4550188.0,,,27.0,44.0,46.0,310.0,"7821 Stone Ave. N Seattle, WA 98103 ",47.68634429999999,-122.3425126,Cascadia Elementary,0.6627938412909924,14678.025806451613
Beacon Hill International Elementary,2021-22,289464.0,3417186.0,41000.0,230254.0,184768.0,4649148.0,404286.0,123190.0,127.0,205.0,20.0,365.0,"2025 14th Ave. S Seattle, WA 98144 ",47.5850972,-122.3153864,Thurgood Marshall Elementary,0.8345467794949647,12737.391780821918
Beacon Hill International Elementary,2022-23,339256.0,3321132.0,2541.0,243518.0,143842.0,4679022.0,488833.0,101441.0,149.0,160.0,19.0,321.0,"2025 14th Ave. S Seattle, WA 98144 ",47.5850972,-122.3153864,Thurgood Marshall Elementary,0.8345467794949647,14576.392523364486
Beacon Hill International Elementary,2023-24,375239.0,3294062.0,0.0,296791.0,151685.0,4661912.0,450433.0,91161.0,165.0,152.0,34.0,337.0,"2025 14th Ave. S Seattle, WA 98144 ",47.5850972,-122.3153864,Thurgood Marshall Elementary,0.8345467794949647,13833.566765578635
Bryant Elementary,2021-22,57837.0,3916106.0,102088.0,203990.0,25935.0,4305956.0,,,23.0,24.0,18.0,486.0,"3311 NE 60th St. Seattle, WA 98115 ",47.6711348,-122.2917845,Laurelhurst Elementary,0.8904080322847421,8859.991769547325
Bryant Elementary,2022-23,92281.0,3650630.0,108480.0,187984.0,43151.0,4082526.0,,,30.0,24.0,12.0,437.0,"3311 NE 60th St. Seattle, WA 98115 ",47.6711348,-122.2917845,Laurelhurst Elementary,0.8904080322847421,9342.1647597254
Bryant Elementary,2023-24,62528.0,4315784.0,176111.0,225003.0,45506.0,4824932.0,,,27.0,14.0,20.0,487.0,"3311 NE 60th St. Seattle, WA 98115 ",47.6711348,-122.2917845,Laurelhurst Elementary,0.8904080322847421,9907.457905544148
Cascadia Elementary,2021-22,28791.0,3785297.0,186358.0,407940.0,25935.0,4434321.0,551035.0,,6.0,23.0,36.0,495.0,"1700 N 90th St. Seattle, WA 98103 ",47.69525960000001,-122.3372646,Daniel Bagley Elementary,0.6627938412909924,8958.224242424243
Cascadia Elementary,2022-23,30831.0,3877626.0,160239.0,215847.0,43151.0,4327694.0,0.0,,13.0,20.0,16.0,474.0,"1700 N 90th St. Seattle, WA 98103 ",47.69525960000001,-122.3372646,Daniel Bagley Elementary,0.6627938412909924,9130.156118143459
Cascadia Elementary,2023-24,31046.0,3745599.0,250392.0,369466.0,45506.0,4993044.0,0.0,,4.0,20.0,35.0,455.0,"1700 N 90th St. Seattle, WA 98103 ",47.69525960000001,-122.3372646,Daniel Bagley Elementary,0.6627938412909924,10973.723076923077
Cedar Park Elementary,2021-22,57860.0,2064577.0,2541.0,78706.0,32419.0,2632802.0,399240.0,,24.0,30.0,9.0,222.0,"3737 NE 135th St. Seattle, WA 98125 ",47.7260396,-122.2872652,Olympic Hills Elementary,0.917010768681375,11859.468468468469
